Dise No.,Rural / Urban,Year,Block Code,Block Name,Village Code,Village Name,Zonal Office,CRC Code,CRC No.,Pin Code,School Name,School Status Code,School Status,Management Code,Management Name,Category Code,Category Name,School Type Code,School Type Name,Lowest Class,Highest Class,Medium Code,Medium,Pre Primary Boys,Pre Primary Girls,Pre Primary Total,1 Boys,1 Girls,1 Total,2 Boys,2 Girls,2 Total,3 Boys,3 Girls,3 Total,4 Boys,4 Girls,4 Total,5 Boys,5 Girls,5 Total,6 Boys,6 Girls,6 Total,7 Boys,7 Girls,7 Total,8 Boys,8 Girls,8 Total,9 Boys,9 Girls,9 Total,10 Boys,10 Girls,10 Total,11 Boys,11 Girls,11 Total,12 Boys,12 Girls,12 Total,1_5 Boys,1_5 Girls,1_5 Total,6_8 Boys,6_8 Girls,6_8 Total,1_8 Boys,1_8 Girls,1_8 Total,9_12 Boys,9_12 Girls,9_12 Total,1_12 Boys,1_12 Girls,1_12 Total
27251400101,Urban,2012-13,272514,Aundh,272514001,AUNDH GAON,Aundh,2725140001,Aundh CRC No. 1,411007,P. M. C. 54 B,0,Operational,17,MNC,1,Primary,3,Co-Education,1,4,10,Marathi,18,20,38,15,25,40,31,29,60,38,39,77,36,35,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,128,248,0,0,0,120,128,248,0,0,0,120,128,248
27251400102,Urban,2012-13,272514,Aundh,272514001,AUNDH GAON,Aundh,2725140001,Aundh CRC No. 1,411007,P. M. C. 42 G,0,Operational,17,MNC,2,Primary with Upper Primary,2,Girls,1,7,10,Marathi,10,16,26,0,29,29,0,29,29,0,23,23,0,37,37,0,53,53,0,61,61,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,171,0,125,125,0,296,296,0,0,0,0,296,296
27251400103,Urban,2012-13,272514,Aundh,272514001,AUNDH GAON,Aundh,2725140001,Aundh CRC No. 1,411007,P. M. C. 87  B,0,Operational,17,MNC,2,Primary with Upper Primary,1,Boys,1,7,10,Marathi,11,7,18,31,0,31,22,0,22,30,0,30,36,0,36,53,0,53,67,0,67,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,172,111,0,111,283,0,283,0,0,0,283,0,283
27251400104,Urban,2012-13,272514,Aundh,272514001,AUNDH GAON,Aundh,2725140001,Aundh CRC No. 1,411007,PMC 54 B ENG,0,Operational,17,MNC,1,Primary,3,Co-Education,1,2,19,English,52,29,81,21,16,37,13,18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,68,0,0,0,34,34,68,0,0,0,34,34,68
27251400105,Urban,2012-13,272514,Aundh,272514001,AUNDH GAON,Aundh,2725140001,Aundh CRC No. 1,411007,RAYAT SHIKSHAN SANSTHA PRI.,0,Operational,4,Pvt. Aided,1,Primary,3,Co-Education,1,4,10,Marathi,0,0,0,16,20,36,18,13,31,18,20,38,26,26,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,79,157,0,0,0,78,79,157,0,0,0,78,79,157
27251400106,Urban,2012-13,272514,Aundh,272514001,AUNDH GAON,Aundh,2725140001,Aundh CRC No. 1,411007,DR SHAMRAO KALMADI HISCH,0,Operational,20,Permanent Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,19,English,64,40,104,19,27,46,22,19,41,27,20,47,24,21,45,18,25,43,15,24,39,20,21,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,112,222,35,45,80,145,157,302,0,0,0,145,157,302
27251400107,Urban,2012-13,272514,Aundh,272514001,AUNDH GAON,Aundh,2725140001,Aundh CRC No. 1,411007,SHAMRAO KALMADI HIGHSCHOOL,0,Operational,20,Permanent Unaided,8,Secondary Only,3,Co-Education,8,10,19,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,50,16,24,40,16,22,38,0,0,0,0,0,0,0,0,0,24,26,50,24,26,50,32,46,78,56,72,128
27251400108,Urban,2012-13,272514,Aundh,272514001,AUNDH GAON,Aundh,2725140001,Aundh CRC No. 1,411007,D A V PUBLIC SCHOOL,0,Operational,20,Permanent Unaided,3,Pr. with Up.Pr. sec. and H.Sec.,3,Co-Education,1,12,19,English,567,506,1073,260,209,469,337,243,580,343,227,570,351,263,614,350,256,606,310,219,529,311,238,549,251,207,458,223,182,405,184,113,297,104,105,209,73,100,173,1641,1198,2839,872,664,1536,2513,1862,4375,584,500,1084,3097,2362,5459
27251400109,Urban,2012-13,272514,Aundh,272514001,AUNDH GAON,Aundh,2725140001,Aundh CRC No. 1,411007,ARJAN WATUMAL SCH,0,Operational,20,Permanent Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,19,English,86,63,149,52,40,92,43,46,89,48,46,94,56,39,95,57,40,97,55,43,98,53,41,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,211,467,108,84,192,364,295,659,0,0,0,364,295,659
27251400110,Urban,2012-13,272514,Aundh,272514001,AUNDH GAON,Aundh,2725140001,Aundh CRC No. 1,411007,ARJAN WATUMAL SINDHU VIDYABHAVAN,0,Operational,20,Permanent Unaided,8,Secondary Only,3,Co-Education,8,10,19,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,45,99,47,33,80,32,39,71,0,0,0,0,0,0,0,0,0,54,45,99,54,45,99,79,72,151,133,117,250
