,Rural_Urban,Area,School_Name,Medium,School_Status,Category_Code,Category_Name,School_Type_Code,School_Type_Name
0,Urban,AUNDH GAON,P. M. C. 54 B,4,Operational,1,Primary,3,Co-Education
1,Urban,AUNDH GAON,P. M. C. 42 G,4,Operational,2,Primary with Upper Primary,2,Girls
2,Urban,AUNDH GAON,P. M. C. 87  B,4,Operational,2,Primary with Upper Primary,1,Boys
3,Urban,AUNDH GAON,PMC 54 B ENG,0,Operational,1,Primary,3,Co-Education
4,Urban,AUNDH GAON,RAYAT SHIKSHAN SANSTHA PRI.,4,Operational,1,Primary,3,Co-Education
5,Urban,AUNDH GAON,DR SHAMRAO KALMADI HISCH,0,Operational,2,Primary with Upper Primary,3,Co-Education
6,Urban,AUNDH GAON,SHAMRAO KALMADI HIGHSCHOOL,0,Operational,8,Secondary Only,3,Co-Education
7,Urban,AUNDH GAON,D A V PUBLIC SCHOOL,0,Operational,3,Pr. with Up.Pr. sec. and H.Sec.,3,Co-Education
8,Urban,AUNDH GAON,ARJAN WATUMAL SCH,0,Operational,2,Primary with Upper Primary,3,Co-Education
9,Urban,AUNDH GAON,ARJAN WATUMAL SINDHU VIDYABHAVAN,0,Operational,8,Secondary Only,3,Co-Education
10,Urban,AUNDH GAON,DR. BABASAHEB AMBEDKAR JR. COLLEGE,4,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
12,Urban,BANER BALEWADI,P. M. C. 151 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
13,Urban,BANER BALEWADI,P. M. C. 152 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
14,Urban,BANER BALEWADI,BALWADKAR VIDHYALAYA,4,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
15,Urban,BANER BALEWADI,DEVDHAR KRIDA PRABHODINI,4,Operational,3,Pr. with Up.Pr. sec. and H.Sec.,3,Co-Education
16,Urban,BANER BALEWADI,KHANDERAI PRATISHTAN PRI.,4,Operational,1,Primary,3,Co-Education
17,Urban,BANER BALEWADI,DYANKUR BALAJI MURKUTE,4,Operational,2,Primary with Upper Primary,3,Co-Education
18,Urban,BANER BALEWADI,D B MURKUTE HIGH SCHOOL,4,Operational,8,Secondary Only,3,Co-Education
19,Urban,BANER BALEWADI,BHARATI VIDHYAPITH ENG,0,Operational,3,Pr. with Up.Pr. sec. and H.Sec.,3,Co-Education
20,Urban,BANER BALEWADI,ORCHID SCHOOL,0,Operational,6,Pr. Up Pr. and Secondary Only,3,Co-Education
21,Urban,BANER BALEWADI,VINDYANCHAL SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
22,Urban,BANER BALEWADI,VIDYANCHAL SCHOOL ENG MEDI,0,Operational,8,Secondary Only,3,Co-Education
23,Urban,VEDBHAVAN,PMC 153 B,4,Operational,1,Primary,3,Co-Education
24,Urban,VEDBHAVAN,PMC 173 B,4,Operational,1,Primary,3,Co-Education
25,Urban,VEDBHAVAN,PMC SCH NO 82 B,4,Operational,4,Upper Primary only,3,Co-Education
26,Urban,VEDBHAVAN,RATNAPRABHADEVI MOHITE PRI,4,Operational,2,Primary with Upper Primary,3,Co-Education
27,Urban,VEDBHAVAN,RATNAPRABHADEVI MOHITE SEC,4,Operational,8,Secondary Only,3,Co-Education
28,Urban,VEDBHAVAN,DR BABASAHEB AMBEDKAR VID,4,Operational,8,Secondary Only,3,Co-Education
29,Urban,VEDBHAVAN,NEW INDIA ENG MEDIUM PRI,0,Operational,2,Primary with Upper Primary,3,Co-Education
30,Urban,VEDBHAVAN,NEW INDIA ENG MEDIUM SEC,0,Operational,8,Secondary Only,3,Co-Education
31,Urban,VEDBHAVAN,DHANIRAJ HIGHSCHOOL,0,Operational,8,Secondary Only,3,Co-Education
32,Urban,VEDBHAVAN,BAVDHAN PRI,0,Operational,2,Primary with Upper Primary,3,Co-Education
33,Urban,DAHANUKAR COLONY,PMC 128 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
34,Urban,DAHANUKAR COLONY,SARASWATI VIDYA MANDIR SEC,4,Operational,8,Secondary Only,3,Co-Education
35,Urban,DAHANUKAR COLONY,PUNE BLIND GIRLS SCHOOL,4,Operational,1,Primary,3,Co-Education
36,Urban,DAHANUKAR COLONY,MAHESH VIDYALAYA,4,Operational,8,Secondary Only,3,Co-Education
37,Urban,DAHANUKAR COLONY,MAHESH VIDYALYA PRIMARY MAR,4,Operational,2,Primary with Upper Primary,3,Co-Education
38,Urban,DAHANUKAR COLONY,MAHESH VIDYALAY ENG MEDIAM,0,Operational,2,Primary with Upper Primary,3,Co-Education
39,Urban,DAHANUKAR COLONY,MAHESH VIDYALAY ENGLISH SECONDARY,0,Operational,8,Secondary Only,3,Co-Education
40,Urban,DECCAN GYMKHANA,P. M. C. 14 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
